mortgages_grouped_by,category,postcode_region,date,number_of_sales
Number of sales by sales channel,Direct,London,Q1-2020,6687
Number of sales by sales channel,Direct,London,Q1-2019,7062
Number of sales by sales channel,Direct,London,Q1-2021,7916
Number of sales by sales channel,Direct,London,Q1-2018,8263
Number of sales by sales channel,Direct,London,Q1-2017,9077
Number of sales by sales channel,Direct,London,Q2-2020,4230
Number of sales by sales channel,Direct,London,Q2-2019,6753
Number of sales by sales channel,Direct,London,Q2-2018,8219
Number of sales by sales channel,Direct,London,Q2-2021,8600
Number of sales by sales channel,Direct,London,Q2-2017,8629
Number of sales by sales channel,Direct,London,Q3-2020,5484
Number of sales by sales channel,Direct,London,Q3-2021,5701
Number of sales by sales channel,Direct,London,Q3-2019,7841
Number of sales by sales channel,Direct,London,Q3-2018,8864
Number of sales by sales channel,Direct,London,Q3-2017,9478
Number of sales by sales channel,Direct,London,Q4-2021,5162
Number of sales by sales channel,Direct,London,Q4-2020,6456
Number of sales by sales channel,Direct,London,Q4-2019,7193
Number of sales by sales channel,Direct,London,Q4-2018,7996
Number of sales by sales channel,Direct,London,Q4-2017,8805
Number of sales by sales channel,Intermediary,London,Q1-2017,24981
Number of sales by sales channel,Intermediary,London,Q1-2018,25674
Number of sales by sales channel,Intermediary,London,Q1-2019,26058
Number of sales by sales channel,Intermediary,London,Q1-2020,26248
Number of sales by sales channel,Intermediary,London,Q1-2021,32924
Number of sales by sales channel,Intermediary,London,Q2-2020,17361
Number of sales by sales channel,Intermediary,London,Q2-2017,25195
Number of sales by sales channel,Intermediary,London,Q2-2019,25618
Number of sales by sales channel,Intermediary,London,Q2-2018,27239
Number of sales by sales channel,Intermediary,London,Q2-2021,37631
Number of sales by sales channel,Intermediary,London,Q3-2020,23655
Number of sales by sales channel,Intermediary,London,Q3-2021,24579
Number of sales by sales channel,Intermediary,London,Q3-2017,27939
Number of sales by sales channel,Intermediary,London,Q3-2019,28943
Number of sales by sales channel,Intermediary,London,Q3-2018,29972
Number of sales by sales channel,Intermediary,London,Q4-2021,24840
Number of sales by sales channel,Intermediary,London,Q4-2017,26202
Number of sales by sales channel,Intermediary,London,Q4-2019,27573
Number of sales by sales channel,Intermediary,London,Q4-2020,27728
Number of sales by sales channel,Intermediary,London,Q4-2018,28587
Number of sales by sales channel,Direct,East Midlands,Q1-2020,5652
Number of sales by sales channel,Direct,East Midlands,Q1-2019,5674
Number of sales by sales channel,Direct,East Midlands,Q1-2021,6127
Number of sales by sales channel,Direct,East Midlands,Q1-2018,6472
Number of sales by sales channel,Direct,East Midlands,Q1-2017,6582
Number of sales by sales channel,Direct,East Midlands,Q2-2020,3871
Number of sales by sales channel,Direct,East Midlands,Q2-2019,5955
Number of sales by sales channel,Direct,East Midlands,Q2-2021,6243
Number of sales by sales channel,Direct,East Midlands,Q2-2017,6571
Number of sales by sales channel,Direct,East Midlands,Q2-2018,6652
Number of sales by sales channel,Direct,East Midlands,Q3-2020,4829
Number of sales by sales channel,Direct,East Midlands,Q3-2021,5606
Number of sales by sales channel,Direct,East Midlands,Q3-2019,6697
Number of sales by sales channel,Direct,East Midlands,Q3-2018,7036
Number of sales by sales channel,Direct,East Midlands,Q3-2017,7316
Number of sales by sales channel,Direct,East Midlands,Q4-2021,4527
Number of sales by sales channel,Direct,East Midlands,Q4-2020,5743
Number of sales by sales channel,Direct,East Midlands,Q4-2019,6251
Number of sales by sales channel,Direct,East Midlands,Q4-2018,6713
Number of sales by sales channel,Direct,East Midlands,Q4-2017,7285
Number of sales by sales channel,Intermediary,East Midlands,Q1-2017,14952
Number of sales by sales channel,Intermediary,East Midlands,Q1-2018,16152
Number of sales by sales channel,Intermediary,East Midlands,Q1-2020,16633
Number of sales by sales channel,Intermediary,East Midlands,Q1-2019,16976
Number of sales by sales channel,Intermediary,East Midlands,Q1-2021,19184
Number of sales by sales channel,Intermediary,East Midlands,Q2-2020,12306
Number of sales by sales channel,Intermediary,East Midlands,Q2-2017,16229
Number of sales by sales channel,Intermediary,East Midlands,Q2-2018,17989
Number of sales by sales channel,Intermediary,East Midlands,Q2-2019,18249
Number of sales by sales channel,Intermediary,East Midlands,Q2-2021,20039
Number of sales by sales channel,Intermediary,East Midlands,Q3-2020,15732
Number of sales by sales channel,Intermediary,East Midlands,Q3-2017,17676
Number of sales by sales channel,Intermediary,East Midlands,Q3-2018,19188
Number of sales by sales channel,Intermediary,East Midlands,Q3-2019,19222
Number of sales by sales channel,Intermediary,East Midlands,Q3-2021,19802
Number of sales by sales channel,Intermediary,East Midlands,Q4-2017,17609
Number of sales by sales channel,Intermediary,East Midlands,Q4-2021,17977
Number of sales by sales channel,Intermediary,East Midlands,Q4-2020,18889
Number of sales by sales channel,Intermediary,East Midlands,Q4-2019,19408
Number of sales by sales channel,Intermediary,East Midlands,Q4-2018,20365
Number of sales by sales channel,Direct,East of England,Q1-2020,5675
Number of sales by sales channel,Direct,East of England,Q1-2019,5913
Number of sales by sales channel,Direct,East of England,Q1-2018,6871
Number of sales by sales channel,Direct,East of England,Q1-2017,7283
Number of sales by sales channel,Direct,East of England,Q1-2021,7347
Number of sales by sales channel,Direct,East of England,Q2-2020,3867
Number of sales by sales channel,Direct,East of England,Q2-2019,5996
Number of sales by sales channel,Direct,East of England,Q2-2018,6766
Number of sales by sales channel,Direct,East of England,Q2-2017,7175
Number of sales by sales channel,Direct,East of England,Q2-2021,7436
Number of sales by sales channel,Direct,East of England,Q3-2020,4921
Number of sales by sales channel,Direct,East of England,Q3-2021,5330
Number of sales by sales channel,Direct,East of England,Q3-2019,6727
Number of sales by sales channel,Direct,East of England,Q3-2018,7438
Number of sales by sales channel,Direct,East of England,Q3-2017,7914
Number of sales by sales channel,Direct,East of England,Q4-2021,4567
Number of sales by sales channel,Direct,East of England,Q4-2020,6319
Number of sales by sales channel,Direct,East of England,Q4-2019,6584
Number of sales by sales channel,Direct,East of England,Q4-2018,6987
Number of sales by sales channel,Direct,East of England,Q4-2017,7476
Number of sales by sales channel,Intermediary,East of England,Q1-2017,20897
Number of sales by sales channel,Intermediary,East of England,Q1-2018,22041
Number of sales by sales channel,Intermediary,East of England,Q1-2019,22448
Number of sales by sales channel,Intermediary,East of England,Q1-2020,22945
Number of sales by sales channel,Intermediary,East of England,Q1-2021,28278
Number of sales by sales channel,Intermediary,East of England,Q2-2020,15810
Number of sales by sales channel,Intermediary,East of England,Q2-2017,22045
Number of sales by sales channel,Intermediary,East of England,Q2-2019,23576
Number of sales by sales channel,Intermediary,East of England,Q2-2018,24296
Number of sales by sales channel,Intermediary,East of England,Q2-2021,29364
Number of sales by sales channel,Intermediary,East of England,Q3-2020,20696
Number of sales by sales channel,Intermediary,East of England,Q3-2021,24278
Number of sales by sales channel,Intermediary,East of England,Q3-2017,24667
Number of sales by sales channel,Intermediary,East of England,Q3-2019,25657
Number of sales by sales channel,Intermediary,East of England,Q3-2018,25853
Number of sales by sales channel,Intermediary,East of England,Q4-2021,23169
Number of sales by sales channel,Intermediary,East of England,Q4-2017,23919
Number of sales by sales channel,Intermediary,East of England,Q4-2019,25606
Number of sales by sales channel,Intermediary,East of England,Q4-2020,25822
Number of sales by sales channel,Intermediary,East of England,Q4-2018,26546
Number of sales by sales channel,Direct,North East,Q1-2021,2880
Number of sales by sales channel,Direct,North East,Q1-2020,3013
Number of sales by sales channel,Direct,North East,Q1-2019,3039
Number of sales by sales channel,Direct,North East,Q1-2017,3193
Number of sales by sales channel,Direct,North East,Q1-2018,3251
Number of sales by sales channel,Direct,North East,Q2-2020,1939
Number of sales by sales channel,Direct,North East,Q2-2021,3034
Number of sales by sales channel,Direct,North East,Q2-2019,3226
Number of sales by sales channel,Direct,North East,Q2-2017,3302
Number of sales by sales channel,Direct,North East,Q2-2018,3511
Number of sales by sales channel,Direct,North East,Q3-2020,2501
Number of sales by sales channel,Direct,North East,Q3-2021,3145
Number of sales by sales channel,Direct,North East,Q3-2019,3489
Number of sales by sales channel,Direct,North East,Q3-2017,3610
Number of sales by sales channel,Direct,North East,Q3-2018,3642
Number of sales by sales channel,Direct,North East,Q4-2021,2591
Number of sales by sales channel,Direct,North East,Q4-2020,3071
Number of sales by sales channel,Direct,North East,Q4-2019,3342
Number of sales by sales channel,Direct,North East,Q4-2018,3469
Number of sales by sales channel,Direct,North East,Q4-2017,3727
Number of sales by sales channel,Intermediary,North East,Q1-2017,6451
Number of sales by sales channel,Intermediary,North East,Q1-2018,6619
Number of sales by sales channel,Intermediary,North East,Q1-2020,7162
Number of sales by sales channel,Intermediary,North East,Q1-2019,7175
Number of sales by sales channel,Intermediary,North East,Q1-2021,8032
Number of sales by sales channel,Intermediary,North East,Q2-2020,5054
Number of sales by sales channel,Intermediary,North East,Q2-2017,7070
Number of sales by sales channel,Intermediary,North East,Q2-2018,7764
Number of sales by sales channel,Intermediary,North East,Q2-2019,7939
Number of sales by sales channel,Intermediary,North East,Q2-2021,8400
Number of sales by sales channel,Intermediary,North East,Q3-2020,6887
Number of sales by sales channel,Intermediary,North East,Q3-2017,7339
Number of sales by sales channel,Intermediary,North East,Q3-2018,8177
Number of sales by sales channel,Intermediary,North East,Q3-2019,8203
Number of sales by sales channel,Intermediary,North East,Q3-2021,9091
Number of sales by sales channel,Intermediary,North East,Q4-2017,7767
Number of sales by sales channel,Intermediary,North East,Q4-2021,8235
Number of sales by sales channel,Intermediary,North East,Q4-2020,8446
Number of sales by sales channel,Intermediary,North East,Q4-2019,8459
Number of sales by sales channel,Intermediary,North East,Q4-2018,8820
Number of sales by sales channel,Direct,North West,Q1-2020,8743
Number of sales by sales channel,Direct,North West,Q1-2021,8885
Number of sales by sales channel,Direct,North West,Q1-2019,9197
Number of sales by sales channel,Direct,North West,Q1-2018,10297
Number of sales by sales channel,Direct,North West,Q1-2017,10339
Number of sales by sales channel,Direct,North West,Q2-2020,5715
Number of sales by sales channel,Direct,North West,Q2-2021,9053
Number of sales by sales channel,Direct,North West,Q2-2019,9285
Number of sales by sales channel,Direct,North West,Q2-2017,10396
Number of sales by sales channel,Direct,North West,Q2-2018,10675
Number of sales by sales channel,Direct,North West,Q3-2020,7531
Number of sales by sales channel,Direct,North West,Q3-2021,8686
Number of sales by sales channel,Direct,North West,Q3-2019,10223
Number of sales by sales channel,Direct,North West,Q3-2018,11081
Number of sales by sales channel,Direct,North West,Q3-2017,11632
Number of sales by sales channel,Direct,North West,Q4-2021,6977
Number of sales by sales channel,Direct,North West,Q4-2020,8982
Number of sales by sales channel,Direct,North West,Q4-2019,9946
Number of sales by sales channel,Direct,North West,Q4-2018,10889
Number of sales by sales channel,Direct,North West,Q4-2017,11230
Number of sales by sales channel,Intermediary,North West,Q1-2017,18845
Number of sales by sales channel,Intermediary,North West,Q1-2018,20133
Number of sales by sales channel,Intermediary,North West,Q1-2019,21711
Number of sales by sales channel,Intermediary,North West,Q1-2020,22474
Number of sales by sales channel,Intermediary,North West,Q1-2021,25065
Number of sales by sales channel,Intermediary,North West,Q2-2020,15307
Number of sales by sales channel,Intermediary,North West,Q2-2017,19744
Number of sales by sales channel,Intermediary,North West,Q2-2018,22509
Number of sales by sales channel,Intermediary,North West,Q2-2019,23982
Number of sales by sales channel,Intermediary,North West,Q2-2021,26084
Number of sales by sales channel,Intermediary,North West,Q3-2020,20985
Number of sales by sales channel,Intermediary,North West,Q3-2017,22341
Number of sales by sales channel,Intermediary,North West,Q3-2018,24084
Number of sales by sales channel,Intermediary,North West,Q3-2019,24963
Number of sales by sales channel,Intermediary,North West,Q3-2021,26392
Number of sales by sales channel,Intermediary,North West,Q4-2017,22319
Number of sales by sales channel,Intermediary,North West,Q4-2021,23882
Number of sales by sales channel,Intermediary,North West,Q4-2019,24808
Number of sales by sales channel,Intermediary,North West,Q4-2020,24849
Number of sales by sales channel,Intermediary,North West,Q4-2018,26004
Number of sales by sales channel,Direct,Northern Ireland,Q1-2021,1606
Number of sales by sales channel,Direct,Northern Ireland,Q1-2020,1634
Number of sales by sales channel,Direct,Northern Ireland,Q1-2019,1694
Number of sales by sales channel,Direct,Northern Ireland,Q1-2018,1852
Number of sales by sales channel,Direct,Northern Ireland,Q1-2017,1866
Number of sales by sales channel,Direct,Northern Ireland,Q2-2020,787
Number of sales by sales channel,Direct,Northern Ireland,Q2-2021,1603
Number of sales by sales channel,Direct,Northern Ireland,Q2-2019,1736
Number of sales by sales channel,Direct,Northern Ireland,Q2-2017,1952
Number of sales by sales channel,Direct,Northern Ireland,Q2-2018,2014
Number of sales by sales channel,Direct,Northern Ireland,Q3-2021,1387
Number of sales by sales channel,Direct,Northern Ireland,Q3-2020,1408
Number of sales by sales channel,Direct,Northern Ireland,Q3-2019,1921
Number of sales by sales channel,Direct,Northern Ireland,Q3-2017,2048
Number of sales by sales channel,Direct,Northern Ireland,Q3-2018,2054
Number of sales by sales channel,Direct,Northern Ireland,Q4-2021,1110
Number of sales by sales channel,Direct,Northern Ireland,Q4-2020,1743
Number of sales by sales channel,Direct,Northern Ireland,Q4-2019,1802
Number of sales by sales channel,Direct,Northern Ireland,Q4-2018,1987
Number of sales by sales channel,Direct,Northern Ireland,Q4-2017,2094
Number of sales by sales channel,Intermediary,Northern Ireland,Q1-2017,3205
Number of sales by sales channel,Intermediary,Northern Ireland,Q1-2018,3744
Number of sales by sales channel,Intermediary,Northern Ireland,Q1-2019,4646
Number of sales by sales channel,Intermediary,Northern Ireland,Q1-2020,4812
Number of sales by sales channel,Intermediary,Northern Ireland,Q1-2021,5271
Number of sales by sales channel,Intermediary,Northern Ireland,Q2-2020,2384
Number of sales by sales channel,Intermediary,Northern Ireland,Q2-2017,3797
Number of sales by sales channel,Intermediary,Northern Ireland,Q2-2018,4451
Number of sales by sales channel,Intermediary,Northern Ireland,Q2-2019,5006
Number of sales by sales channel,Intermediary,Northern Ireland,Q2-2021,5762
Number of sales by sales channel,Intermediary,Northern Ireland,Q3-2020,4060
Number of sales by sales channel,Intermediary,Northern Ireland,Q3-2017,4118
Number of sales by sales channel,Intermediary,Northern Ireland,Q3-2018,4671
Number of sales by sales channel,Intermediary,Northern Ireland,Q3-2019,5503
Number of sales by sales channel,Intermediary,Northern Ireland,Q3-2021,6198
Number of sales by sales channel,Intermediary,Northern Ireland,Q4-2017,4289
Number of sales by sales channel,Intermediary,Northern Ireland,Q4-2018,5148
Number of sales by sales channel,Intermediary,Northern Ireland,Q4-2019,5388
Number of sales by sales channel,Intermediary,Northern Ireland,Q4-2021,5537
Number of sales by sales channel,Intermediary,Northern Ireland,Q4-2020,5564
Number of sales by sales channel,Direct,Scotland,Q1-2021,5961
Number of sales by sales channel,Direct,Scotland,Q1-2020,6146
Number of sales by sales channel,Direct,Scotland,Q1-2019,6840
Number of sales by sales channel,Direct,Scotland,Q1-2018,7265
Number of sales by sales channel,Direct,Scotland,Q1-2017,8035
Number of sales by sales channel,Direct,Scotland,Q2-2020,3626
Number of sales by sales channel,Direct,Scotland,Q2-2021,5548
Number of sales by sales channel,Direct,Scotland,Q2-2019,8008
Number of sales by sales channel,Direct,Scotland,Q2-2018,8580
Number of sales by sales channel,Direct,Scotland,Q2-2017,9149
Number of sales by sales channel,Direct,Scotland,Q3-2020,5295
Number of sales by sales channel,Direct,Scotland,Q3-2021,6179
Number of sales by sales channel,Direct,Scotland,Q3-2019,8314
Number of sales by sales channel,Direct,Scotland,Q3-2018,8788
Number of sales by sales channel,Direct,Scotland,Q3-2017,9511
Number of sales by sales channel,Direct,Scotland,Q4-2021,5702
Number of sales by sales channel,Direct,Scotland,Q4-2020,7680
Number of sales by sales channel,Direct,Scotland,Q4-2019,8048
Number of sales by sales channel,Direct,Scotland,Q4-2018,8158
Number of sales by sales channel,Direct,Scotland,Q4-2017,8827
Number of sales by sales channel,Intermediary,Scotland,Q1-2018,13814
Number of sales by sales channel,Intermediary,Scotland,Q1-2017,13847
Number of sales by sales channel,Intermediary,Scotland,Q1-2020,15770
Number of sales by sales channel,Intermediary,Scotland,Q1-2021,16406
Number of sales by sales channel,Intermediary,Scotland,Q1-2019,16471
Number of sales by sales channel,Intermediary,Scotland,Q2-2020,9829
Number of sales by sales channel,Intermediary,Scotland,Q2-2017,16154
Number of sales by sales channel,Intermediary,Scotland,Q2-2018,17066
Number of sales by sales channel,Intermediary,Scotland,Q2-2021,17220
Number of sales by sales channel,Intermediary,Scotland,Q2-2019,18861
Number of sales by sales channel,Intermediary,Scotland,Q3-2020,15178
Number of sales by sales channel,Intermediary,Scotland,Q3-2017,16581
Number of sales by sales channel,Intermediary,Scotland,Q3-2018,18621
Number of sales by sales channel,Intermediary,Scotland,Q3-2019,19260
Number of sales by sales channel,Intermediary,Scotland,Q3-2021,19451
Number of sales by sales channel,Intermediary,Scotland,Q4-2017,16125
Number of sales by sales channel,Intermediary,Scotland,Q4-2021,18465
Number of sales by sales channel,Intermediary,Scotland,Q4-2018,18598
Number of sales by sales channel,Intermediary,Scotland,Q4-2019,19257
Number of sales by sales channel,Intermediary,Scotland,Q4-2020,21307
Number of sales by sales channel,Direct,South East,Q1-2020,5940
Number of sales by sales channel,Direct,South East,Q1-2019,5967
Number of sales by sales channel,Direct,South East,Q1-2018,7038
Number of sales by sales channel,Direct,South East,Q1-2021,7447
Number of sales by sales channel,Direct,South East,Q1-2017,7659
Number of sales by sales channel,Direct,South East,Q2-2020,3853
Number of sales by sales channel,Direct,South East,Q2-2019,6230
Number of sales by sales channel,Direct,South East,Q2-2018,6931
Number of sales by sales channel,Direct,South East,Q2-2017,7207
Number of sales by sales channel,Direct,South East,Q2-2021,7727
Number of sales by sales channel,Direct,South East,Q3-2020,5026
Number of sales by sales channel,Direct,South East,Q3-2021,5532
Number of sales by sales channel,Direct,South East,Q3-2019,7040
Number of sales by sales channel,Direct,South East,Q3-2018,7745
Number of sales by sales channel,Direct,South East,Q3-2017,8546
Number of sales by sales channel,Direct,South East,Q4-2021,4808
Number of sales by sales channel,Direct,South East,Q4-2020,6471
Number of sales by sales channel,Direct,South East,Q4-2019,6735
Number of sales by sales channel,Direct,South East,Q4-2018,7248
Number of sales by sales channel,Direct,South East,Q4-2017,7873
Number of sales by sales channel,Intermediary,South East,Q1-2017,21077
Number of sales by sales channel,Intermediary,South East,Q1-2018,21787
Number of sales by sales channel,Intermediary,South East,Q1-2019,22271
Number of sales by sales channel,Intermediary,South East,Q1-2020,23255
Number of sales by sales channel,Intermediary,South East,Q1-2021,28653
Number of sales by sales channel,Intermediary,South East,Q2-2020,15599
Number of sales by sales channel,Intermediary,South East,Q2-2017,21825
Number of sales by sales channel,Intermediary,South East,Q2-2019,22798
Number of sales by sales channel,Intermediary,South East,Q2-2018,23680
Number of sales by sales channel,Intermediary,South East,Q2-2021,30211
Number of sales by sales channel,Intermediary,South East,Q3-2020,20887
Number of sales by sales channel,Intermediary,South East,Q3-2021,23766
Number of sales by sales channel,Intermediary,South East,Q3-2017,25022
Number of sales by sales channel,Intermediary,South East,Q3-2019,25240
Number of sales by sales channel,Intermediary,South East,Q3-2018,25723
Number of sales by sales channel,Intermediary,South East,Q4-2021,23108
Number of sales by sales channel,Intermediary,South East,Q4-2017,23660
Number of sales by sales channel,Intermediary,South East,Q4-2019,25380
Number of sales by sales channel,Intermediary,South East,Q4-2020,25399
Number of sales by sales channel,Intermediary,South East,Q4-2018,26209
Number of sales by sales channel,Direct,South West,Q1-2020,8267
Number of sales by sales channel,Direct,South West,Q1-2019,8381
Number of sales by sales channel,Direct,South West,Q1-2018,9528
Number of sales by sales channel,Direct,South West,Q1-2017,9870
Number of sales by sales channel,Direct,South West,Q1-2021,10100
Number of sales by sales channel,Direct,South West,Q2-2020,5485
Number of sales by sales channel,Direct,South West,Q2-2019,8565
Number of sales by sales channel,Direct,South West,Q2-2018,9635
Number of sales by sales channel,Direct,South West,Q2-2017,9894
Number of sales by sales channel,Direct,South West,Q2-2021,9969
Number of sales by sales channel,Direct,South West,Q3-2020,7135
Number of sales by sales channel,Direct,South West,Q3-2021,8036
Number of sales by sales channel,Direct,South West,Q3-2019,9652
Number of sales by sales channel,Direct,South West,Q3-2018,10515
Number of sales by sales channel,Direct,South West,Q3-2017,11353
Number of sales by sales channel,Direct,South West,Q4-2021,6546
Number of sales by sales channel,Direct,South West,Q4-2020,9077
Number of sales by sales channel,Direct,South West,Q4-2019,9494
Number of sales by sales channel,Direct,South West,Q4-2018,10235
Number of sales by sales channel,Direct,South West,Q4-2017,10829
Number of sales by sales channel,Intermediary,South West,Q1-2017,23796
Number of sales by sales channel,Intermediary,South West,Q1-2018,25325
Number of sales by sales channel,Intermediary,South West,Q1-2019,26518
Number of sales by sales channel,Intermediary,South West,Q1-2020,26889
Number of sales by sales channel,Intermediary,South West,Q1-2021,32445
Number of sales by sales channel,Intermediary,South West,Q2-2020,18439
Number of sales by sales channel,Intermediary,South West,Q2-2017,26057
Number of sales by sales channel,Intermediary,South West,Q2-2019,28364
Number of sales by sales channel,Intermediary,South West,Q2-2018,28746
Number of sales by sales channel,Intermediary,South West,Q2-2021,33213
Number of sales by sales channel,Intermediary,South West,Q3-2020,25030
Number of sales by sales channel,Intermediary,South West,Q3-2017,28818
Number of sales by sales channel,Intermediary,South West,Q3-2021,30041
Number of sales by sales channel,Intermediary,South West,Q3-2019,30505
Number of sales by sales channel,Intermediary,South West,Q3-2018,31174
Number of sales by sales channel,Intermediary,South West,Q4-2021,28545
Number of sales by sales channel,Intermediary,South West,Q4-2017,28947
Number of sales by sales channel,Intermediary,South West,Q4-2019,30931
Number of sales by sales channel,Intermediary,South West,Q4-2020,31180
Number of sales by sales channel,Intermediary,South West,Q4-2018,32363
Number of sales by sales channel,Direct,Wales,Q1-2021,2963
Number of sales by sales channel,Direct,Wales,Q1-2019,3241
Number of sales by sales channel,Direct,Wales,Q1-2020,3308
Number of sales by sales channel,Direct,Wales,Q1-2018,3656
Number of sales by sales channel,Direct,Wales,Q1-2017,3693
Number of sales by sales channel,Direct,Wales,Q2-2020,1897
Number of sales by sales channel,Direct,Wales,Q2-2021,3451
Number of sales by sales channel,Direct,Wales,Q2-2019,3558
Number of sales by sales channel,Direct,Wales,Q2-2018,3675
Number of sales by sales channel,Direct,Wales,Q2-2017,3827
Number of sales by sales channel,Direct,Wales,Q3-2020,2302
Number of sales by sales channel,Direct,Wales,Q3-2021,2966
Number of sales by sales channel,Direct,Wales,Q3-2019,3896
Number of sales by sales channel,Direct,Wales,Q3-2018,4007
Number of sales by sales channel,Direct,Wales,Q3-2017,4335
Number of sales by sales channel,Direct,Wales,Q4-2021,3065
Number of sales by sales channel,Direct,Wales,Q4-2020,3283
Number of sales by sales channel,Direct,Wales,Q4-2019,3840
Number of sales by sales channel,Direct,Wales,Q4-2018,3978
Number of sales by sales channel,Direct,Wales,Q4-2017,4059
Number of sales by sales channel,Intermediary,Wales,Q1-2017,6441
Number of sales by sales channel,Intermediary,Wales,Q1-2018,7235
Number of sales by sales channel,Intermediary,Wales,Q1-2019,7522
Number of sales by sales channel,Intermediary,Wales,Q1-2020,7782
Number of sales by sales channel,Intermediary,Wales,Q1-2021,8627
Number of sales by sales channel,Intermediary,Wales,Q2-2020,5224
Number of sales by sales channel,Intermediary,Wales,Q2-2017,7221
Number of sales by sales channel,Intermediary,Wales,Q2-2018,7810
Number of sales by sales channel,Intermediary,Wales,Q2-2019,8239
Number of sales by sales channel,Intermediary,Wales,Q2-2021,9572
Number of sales by sales channel,Intermediary,Wales,Q3-2020,6352
Number of sales by sales channel,Intermediary,Wales,Q3-2017,8002
Number of sales by sales channel,Intermediary,Wales,Q3-2018,8564
Number of sales by sales channel,Intermediary,Wales,Q3-2021,8881
Number of sales by sales channel,Intermediary,Wales,Q3-2019,9200
Number of sales by sales channel,Intermediary,Wales,Q4-2017,8077
Number of sales by sales channel,Intermediary,Wales,Q4-2020,8670
Number of sales by sales channel,Intermediary,Wales,Q4-2019,9337
Number of sales by sales channel,Intermediary,Wales,Q4-2018,9606
Number of sales by sales channel,Intermediary,Wales,Q4-2021,9738
Number of sales by sales channel,Direct,West Midlands,Q1-2020,6342
Number of sales by sales channel,Direct,West Midlands,Q1-2019,6603
Number of sales by sales channel,Direct,West Midlands,Q1-2021,6728
Number of sales by sales channel,Direct,West Midlands,Q1-2018,7291
Number of sales by sales channel,Direct,West Midlands,Q1-2017,7464
Number of sales by sales channel,Direct,West Midlands,Q2-2020,4053
Number of sales by sales channel,Direct,West Midlands,Q2-2021,6646
Number of sales by sales channel,Direct,West Midlands,Q2-2019,6925
Number of sales by sales channel,Direct,West Midlands,Q2-2017,7431
Number of sales by sales channel,Direct,West Midlands,Q2-2018,7515
Number of sales by sales channel,Direct,West Midlands,Q3-2020,5076
Number of sales by sales channel,Direct,West Midlands,Q3-2021,5998
Number of sales by sales channel,Direct,West Midlands,Q3-2019,7410
Number of sales by sales channel,Direct,West Midlands,Q3-2018,7787
Number of sales by sales channel,Direct,West Midlands,Q3-2017,8468
Number of sales by sales channel,Direct,West Midlands,Q4-2021,4824
Number of sales by sales channel,Direct,West Midlands,Q4-2020,6418
Number of sales by sales channel,Direct,West Midlands,Q4-2019,7283
Number of sales by sales channel,Direct,West Midlands,Q4-2018,7897
Number of sales by sales channel,Direct,West Midlands,Q4-2017,8062
Number of sales by sales channel,Intermediary,West Midlands,Q1-2017,14388
Number of sales by sales channel,Intermediary,West Midlands,Q1-2018,15617
Number of sales by sales channel,Intermediary,West Midlands,Q1-2019,16394
Number of sales by sales channel,Intermediary,West Midlands,Q1-2020,16502
Number of sales by sales channel,Intermediary,West Midlands,Q1-2021,19195
Number of sales by sales channel,Intermediary,West Midlands,Q2-2020,11330
Number of sales by sales channel,Intermediary,West Midlands,Q2-2017,15301
Number of sales by sales channel,Intermediary,West Midlands,Q2-2018,16767
Number of sales by sales channel,Intermediary,West Midlands,Q2-2019,17791
Number of sales by sales channel,Intermediary,West Midlands,Q2-2021,19412
Number of sales by sales channel,Intermediary,West Midlands,Q3-2020,14989
Number of sales by sales channel,Intermediary,West Midlands,Q3-2017,17125
Number of sales by sales channel,Intermediary,West Midlands,Q3-2018,18474
Number of sales by sales channel,Intermediary,West Midlands,Q3-2019,18937
Number of sales by sales channel,Intermediary,West Midlands,Q3-2021,19430
Number of sales by sales channel,Intermediary,West Midlands,Q4-2017,16776
Number of sales by sales channel,Intermediary,West Midlands,Q4-2021,17281
Number of sales by sales channel,Intermediary,West Midlands,Q4-2020,18158
Number of sales by sales channel,Intermediary,West Midlands,Q4-2019,19135
Number of sales by sales channel,Intermediary,West Midlands,Q4-2018,19828
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q1-2020,6501
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q1-2021,6645
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q1-2019,7207
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q1-2017,7779
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q1-2018,7812
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q2-2020,4272
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q2-2021,6807
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q2-2019,7475
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q2-2018,8022
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q2-2017,8119
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q3-2020,5581
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q3-2021,6415
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q3-2019,8065
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q3-2018,8420
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q3-2017,9158
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q4-2021,4892
Number of sales by sales channel,Direct,Yorkshire and The Humber,Q4-2020,6831
